Date,Day of the Week,Steps ,Weather,Hours Spent in Class,Hours Spent at the Gym,Hours Spent Surfing 
4/14/25,Monday,"6,000",Overcast,1.25,0,2
4/13/25,Sunday,"9,682",Overcast,0,1,0
4/12/25,Saturday,"10,510",Sunny,0,0,1
4/11/25,Friday,"14,784",Sunny,0,1.5,0
4/15/25,Tuesday,"4,503",Overcast,1.25,0.5,2
4/16/25,Wednesday,"10,794",Sunny,2.25,1,0
4/17/25,Thursday,"8,897",Overcast,2.25,1.5,0
4/18/25,Friday,"12,579",Overcast,0,1,0
4/19/25,Saturday,"12,374",Sunny,0,0,0
4/20/25,Sunday,"8,369",Sunny,0,2,0
4/21/25,Monday,"7,273",Sunny,2.5,0.75,0
4/30/25,Wednesday,"10,384",Overcast,0,1,0
4/29/25,Tuesday,"6,611",Sunny,1.25,2,2
4/28/25,Monday,"2,755",Sunny,1.25,1,2
4/26/25,Saturday,"5,863",Sunny,0,0.5,0
4/25/25,Friday,"8,246",Overcast,0,2,0
4/24/25,Thursday,"2,919",Sunny,2.5,0,0
4/23/25,Wednesday,"8,476",Overcast,2,1,0
4/27/25,Sunday,"3,032",Sunny,0,0.25,0
4/30/25,Wednesday,"10,384",,0.83,1,0
5/26/25,Monday,"8,300",Sunny,0,0,0
5/25/25,Sunday,"14,301",Sunny,0,0,0
5/24/25,Saturday,"12,874",Sunny,0,0,0
5/23/25,Friday,"11,692",Sunny,0,0,0
5/21/25,Wednesday,"10,808",Sunny,0.83,1,0
5/20/25,Tuesday,"8,836",Sunny,4,1,2
5/19/25,Monday,"7,236",Sunny,2,1,2
5/18/25,Sunday,"11,935",Sunny,0,0,0
5/17/25,Saturday,"11,079",Sunny,0,0,0
5/16/25,Friday,"14,519",Overcast,0,0,0
5/15/25,Thursday,"8,191",Sunny,1.25,1,0
5/14/25,Wednesday,"12,485",Sunny,0.83,0,0